target_transform,label_fraction,train_rows_used,val_rows,test_rows,model_family,model_name,checkpoint_path,num_features,missing_keys_count,unexpected_keys_count,val_mae,val_rmse,val_r2,val_spearman,val_median_ae,test_mae,test_rmse,test_r2,test_spearman,test_median_ae
raw_target,1.0,98388,133470,152488,baseline,lightgbm,,321,,,894.6120594949276,1977.1273986473611,0.44657532405631606,0.6412820519867344,371.1084604158781,1051.696411002224,2329.719413827855,0.489565428868473,0.6960240122512403,435.52303839488525
raw_target,1.0,98388,133470,152488,baseline,xgboost,,321,,,930.0486450195312,2044.247314453125,0.4083620309829712,0.6344465353471297,389.3712158203125,1100.9344482421875,2409.942138671875,0.4538070559501648,0.6856156184600114,471.30780029296875
raw_target,1.0,98388,133470,152488,baseline,catboost,,321,,,954.3067704687417,2069.7969234810435,0.3934806169129038,0.6143979452275045,412.4774474866176,1148.588771933857,2458.6942937999033,0.4314850231748154,0.6621711594456979,519.9932720225033
raw_target,1.0,98388,133470,152488,baseline,mlp_regressor,,321,,,1003.1531982421875,2388.409912109375,0.19238024950027466,0.5753605872911907,364.0753173828125,1203.66064453125,2934.3388671875,0.19024550914764404,0.6386777097536919,418.971435546875
raw_target,1.0,98388,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,1090.6488037109375,2393.13818359375,0.18917953968048096,0.6014670272237223,429.15594482421875,1385.306884765625,2966.252197265625,0.1725361943244934,0.6181725629537941,574.4357299804688
raw_target,1.0,98388,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1108.53515625,2406.31982421875,0.180222749710083,0.5882768108144328,478.2083740234375,1422.7884521484375,2996.404541015625,0.15562820434570312,0.6051383772465669,669.22705078125
raw_target,0.5,49194,133470,152488,baseline,lightgbm,,321,,,921.6440163351377,2055.857656265449,0.40162244668271063,0.6304400343796652,385.6544681151761,1097.7880442392259,2469.1214479180903,0.4266527319838356,0.6836603720613113,462.1034106421512
raw_target,0.5,49194,133470,152488,baseline,xgboost,,321,,,942.7247924804688,2124.944580078125,0.3607299327850342,0.6282077645835266,399.3558349609375,1127.7032470703125,2519.59912109375,0.4029706120491028,0.6798942350677636,482.10357666015625
raw_target,0.5,49194,133470,152488,baseline,catboost,,321,,,963.9483047804002,2138.7122259007656,0.35241927366968007,0.6101850823839992,419.00344946412304,1169.376005640221,2564.4271406894745,0.3815372136592122,0.6601645960668125,535.933568813688
raw_target,0.5,49194,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,1112.487060546875,2401.470947265625,0.1835232377052307,0.59445459787184,475.42401123046875,1418.69189453125,2989.877685546875,0.1593027114868164,0.6147705577206803,634.48486328125
raw_target,0.5,49194,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1133.26953125,2444.25927734375,0.15416878461837769,0.574383465695702,490.0798034667969,1436.3880615234375,3045.066162109375,0.1279802918434143,0.5936365021203627,692.3237915039062
raw_target,0.5,49194,133470,152488,baseline,mlp_regressor,,321,,,1001.780029296875,2437.572998046875,0.15878987312316895,0.5852329473599743,347.0615234375,1237.1395263671875,3054.08837890625,0.12280523777008057,0.6347289109269488,411.719970703125
raw_target,0.3,29516,133470,152488,baseline,lightgbm,,321,,,959.0240306300049,2156.9333675998473,0.34133790920070295,0.6165514880738,407.8472921168132,1151.1270246485087,2601.9210897813655,0.3633201781558041,0.668331267708616,508.8042074883698
raw_target,0.3,29516,133470,152488,baseline,xgboost,,321,,,962.823486328125,2211.66552734375,0.3074868321418762,0.6199851583268721,407.558837890625,1157.174072265625,2619.282470703125,0.35479527711868286,0.6696591397156735,504.60601806640625
raw_target,0.3,29516,133470,152488,baseline,catboost,,321,,,985.8124608635466,2211.413221454068,0.3076447113104058,0.605139048017418,429.34532095441114,1191.3895999998913,2649.499520867515,0.339822780602241,0.6538245753944302,542.2016482761455
raw_target,0.3,29516,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,1097.48486328125,2402.00439453125,0.1831604242324829,0.5780217419435543,486.1373291015625,1377.7105712890625,2986.2177734375,0.16135960817337036,0.6055257577769462,622.551513671875
raw_target,0.3,29516,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1136.9940185546875,2421.00341796875,0.17018753290176392,0.5622875331589157,506.39324951171875,1447.12841796875,3013.285888671875,0.1460871696472168,0.5838243762368359,690.3383178710938
raw_target,0.3,29516,133470,152488,baseline,mlp_regressor,,321,,,1021.5189208984375,2449.80859375,0.150323748588562,0.586924240126475,355.84344482421875,1278.985107421875,3457.5771484375,-0.12428545951843262,0.6194549493721162,425.3994140625
raw_target,0.15,14758,133470,152488,baseline,xgboost,,321,,,1015.8531494140625,2275.3193359375,0.2670508027076721,0.5993913064840009,442.4838562011719,1229.40185546875,2711.8955078125,0.3083621859550476,0.6472100621354678,563.2344970703125
raw_target,0.15,14758,133470,152488,baseline,lightgbm,,321,,,1009.5406928469797,2228.3127947036323,0.2970223488108924,0.5990308204628075,437.0808719800152,1224.5105485090533,2714.9123238642555,0.3068224936923496,0.6454246009541349,553.8257383792702
raw_target,0.15,14758,133470,152488,baseline,catboost,,321,,,1026.2887672194984,2272.4885286776057,0.2688733581534398,0.5914137322540578,454.75057638855696,1252.0512308571579,2742.2805754411916,0.2927766056549992,0.6384505244868754,582.4595791811468
